neighbourhood_cleansed,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bathrooms_shared,logprice
I Centro Storico,12.50958,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,False,4.04305126783455
I Centro Storico,12.45784,Private room in bed and breakfast,Private room,2,1.0,1.0,1.0,False,4.941642422609304
XIV Monte Mario,12.44061,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,False,4.382026634673881
I Centro Storico,12.46612,Entire rental unit,Entire home/apt,3,1.0,2.0,2.0,False,4.941642422609304
I Centro Storico,12.47433,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,False,4.976733742420574
XV Cassia/Flaminia,12.45092,Farm stay,Entire home/apt,9,4.5,3.0,6.0,False,5.298317366548036
I Centro Storico,12.45989990234377,Entire condo,Entire home/apt,2,1.0,1.0,1.0,False,4.762173934797756
I Centro Storico,12.47182,Entire rental unit,Entire home/apt,4,1.0,1.0,1.0,False,5.0106352940962555
II Parioli/Nomentano,12.51363,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,False,3.8501476017100584
I Centro Storico,12.4706,Entire rental unit,Entire home/apt,4,1.0,2.0,2.0,False,5.2832037287379885
VII San Giovanni/Cinecittà,12.55764,Private room in rental unit,Private room,3,1.0,1.0,2.0,False,3.295836866004329
I Centro Storico,12.47714,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,False,5.308267697401204
I Centro Storico,12.49958,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,False,5.438079308923196
I Centro Storico,12.46072,Private room in condo,Private room,2,1.0,1.0,1.0,True,4.499809670330265
VIII Appia Antica,12.47893,Entire rental unit,Entire home/apt,3,1.0,1.0,2.0,False,4.382026634673881
I Centro Storico,12.50007,Entire rental unit,Entire home/apt,9,2.0,3.0,4.0,False,5.955837369464831
I Centro Storico,12.46921,Private room in bed and breakfast,Private room,2,1.0,1.0,1.0,False,4.553876891600541
I Centro Storico,12.46899,Private room in bed and breakfast,Private room,2,1.0,1.0,1.0,False,4.553876891600541
I Centro Storico,12.47071,Entire rental unit,Entire home/apt,5,2.5,2.0,3.0,False,5.46383180502561
I Centro Storico,12.46865,Private room in bed and breakfast,Private room,4,1.0,1.0,3.0,False,4.553876891600541
I Centro Storico,12.47159,Entire rental unit,Entire home/apt,6,2.5,2.0,3.0,False,5.655991810819852
I Centro Storico,12.47896,Entire rental unit,Entire home/apt,4,2.0,1.0,1.0,False,6.492239835020471
XV Cassia/Flaminia,12.465,Private room in bed and breakfast,Private room,3,1.0,1.0,2.0,False,5.075173815233827
I Centro Storico,12.47098,Entire rental unit,Entire home/apt,3,1.0,1.0,1.0,False,5.42934562895444
I Centro Storico,12.47521,Entire rental unit,Entire home/apt,5,1.5,1.0,3.0,False,5.393627546352361
I Centro Storico,12.4682,Entire rental unit,Entire home/apt,4,1.0,2.0,4.0,False,5.521460917862246
I Centro Storico,12.47008,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,False,4.890349128221754
I Centro Storico,12.45135,Private room in bed and breakfast,Private room,2,1.0,1.0,0.0,False,4.51085950651685
XII Monte Verde,12.449987411499023,Entire rental unit,Entire home/apt,5,1.0,1.0,5.0,False,4.442651256490317
I Centro Storico,12.50543,Private room in rental unit,Private room,2,0.0,1.0,1.0,True,4.343805421853684
XII Monte Verde,12.46845,Private room in rental unit,Private room,2,1.0,1.0,1.0,False,4.499809670330265
I Centro Storico,12.45582,Entire rental unit,Entire home/apt,6,2.0,2.0,0.0,False,5.0106352940962555
VII San Giovanni/Cinecittà,12.50884,Entire rental unit,Entire home/apt,6,1.0,2.0,5.0,False,4.31748811353631
I Centro Storico,12.47137,Entire rental unit,Entire home/apt,4,1.0,2.0,4.0,False,5.19295685089021
X Ostia/Acilia,12.2906,Entire rental unit,Entire home/apt,3,1.0,2.0,2.0,False,3.912023005428146
IX Eur,12.42827,Entire home,Entire home/apt,3,1.0,1.0,3.0,False,4.07753744390572
XIII Aurelia,12.45407,Entire condo,Entire home/apt,3,1.0,0.0,1.0,False,5.19295685089021
